 👇SmartTV1👇,#genre#
Ria-3,http://50.7.234.10:8278/Ria_quanjia/playlist.m3u8?tid=mc42afe745533&ct=11448811&tsum=acfc6ebbba0856653852c53285853625
Al-Hijrah,http://50.7.234.10:8278/Alhijrah/playlist.m3u8?tid=mc42afe745533&ct=11448811&tsum=d415af77f3709856e33c6c41599789c8
Al-Hijrah,http://50.7.234.10:8278/Alhijrah_backup/playlist.m3u8?tid=mc42afe745533&ct=11448811&tsum=6fd699e3d511dfc39b80e50d338dc1ca
Awani,http://50.7.234.10:8278/Awani/playlist.m3u8?tid=mc42afe745533&ct=11448811&tsum=0f71ca01265212a0661a852481be9c13
Bernama,http://50.7.234.10:8278/Bernama/playlist.m3u8?tid=mc42afe745533&ct=11448811&tsum=1dd6b01a02c291a86359583227c0f961
Prima,http://50.7.234.10:8278/Prima-0/playlist.m3u8?tid=mc42afe745533&ct=11448811&tsum=6a1bcd26d6476b20d7567d9da1e14c47
Prima,http://50.7.234.10:8278/Prima49/playlist.m3u8?tid=mc42afe745533&ct=11448811&tsum=53f15f81302a0dd4c01566e60e450876
Ceria,http://50.7.234.10:8278/Ceria/playlist.m3u8?tid=mc42afe745533&ct=11448811&tsum=301c3742c7feaca2d876fcab914a6efa
Astro MTV,http://50.7.234.10:8278/AstroMTV/playlist.m3u8?tid=mc42afe745533&ct=11448811&tsum=a85ea5addd1138e7b1f9f14e38f210d1
Mecca Live HD,http://50.7.234.10:8278/quran_mido/playlist.m3u8?tid=mc42afe745533&ct=11448811&tsum=d256931cac77b49b0c4e6241797efaf3
Madinah HD,http://50.7.234.10:8278/sunnah_mido/playlist.m3u8?tid=mc42afe745533&ct=11448811&tsum=b9957899f70efa44ad8ab8404a3a7580
Oasis,http://50.7.234.10:8278/Oasis/playlist.m3u8?tid=mc42afe745533&ct=11448811&tsum=f7d79ba29a3f80abf1691b1247e0c83a
HBO HD,http://50.7.234.10:8278/Hbo/playlist.m3u8?tid=mc42afe745533&ct=11448811&tsum=d45ccf70554fc40a5e4679209f61fbe9
HBO Signature,http://50.7.234.10:8278/Hbosignature/playlist.m3u8?tid=mc42afe745533&ct=11448811&tsum=2b61e05d2329b64c818b88008e1aa5d0
HBO Hits,http://50.7.234.10:8278/Hbohits/playlist.m3u8?tid=mc42afe745533&ct=11448811&tsum=1a52603278e2a79c735f52d768972aad
NatGeo Wild HD,http://50.7.234.10:8278/Natgeowild/playlist.m3u8?tid=mc42afe745533&ct=11448811&tsum=5d5e30e360e2fe1f947887478c442c93
Cartoon Network,http://50.7.234.10:8278/Cn/playlist.m3u8?tid=mc42afe745533&ct=11448811&tsum=8871adbd7ff0b3f3d94bae95f08a6c74
Nickelodeon,http://50.7.234.10:8278/Nickelodeon/playlist.m3u8?tid=mc42afe745533&ct=11448811&tsum=0b023b6e02dfb6a1931e49e8d6833fad
Nick Jr,http://50.7.234.10:8278/Nickjr/playlist.m3u8?tid=mc42afe745533&ct=11448811&tsum=24eb14544b65d87a1919154ca241a425
Citra,http://50.7.234.10:8278/Citra/playlist.m3u8?tid=mc42afe745533&ct=11448811&tsum=8961c9d590969de8c01ac960ac289697
Sensasi,http://50.7.234.10:8278/Sensasi/playlist.m3u8?tid=mc42afe745533&ct=11448811&tsum=7f565bd7a7390409a3f7058fcdd194d2
Aura,http://50.7.234.10:8278/Aura/playlist.m3u8?tid=mc42afe745533&ct=11448811&tsum=f0f90df5d2222b88fc6e94fb86e0d84b
Rania,http://50.7.234.10:8278/Rania/playlist.m3u8?tid=mc42afe745533&ct=11448811&tsum=6b51b1b82183d6f13c41b306d96c8a8d
Boo,http://50.7.234.10:8278/Boo/playlist.m3u8?tid=mc42afe745533&ct=11448811&tsum=27e1258369fb9499616cd1f7760997a3
Awesome TV,http://50.7.234.10:8278/Awesome_mega/playlist.m3u8?tid=mc42afe745533&ct=11448811&tsum=e664c8706a43de4d4b4270a5327f988e
Sony HD,http://50.7.234.10:8278/SetOne/playlist.m3u8?tid=mc42afe745533&ct=11448811&tsum=884172871407fe113d6245d8a20e8351
