台湾,#genre#
CBS,http://fm1077.serv00.net/hxds/play.php?id=cbs
CBSN,http://fm1077.serv00.net/hxds/play.php?id=cbsn
France 24,http://fm1077.serv00.net/hxds/play.php?id=france-24
DW (Deutsch),http://fm1077.serv00.net/hxds/play.php?id=dw-(deutsch)
NHK World,http://fm1077.serv00.net/hxds/play.php?id=nhk-world
Fox News,http://fm1077.serv00.net/hxds/play.php?id=fox-news
CGTN,http://fm1077.serv00.net/hxds/play.php?id=cgtn
CNN International,http://fm1077.serv00.net/hxds/play.php?id=cnn-international
CNN,http://fm1077.serv00.net/hxds/play.php?id=cnn
CNBC,http://fm1077.serv00.net/hxds/play.php?id=cnbc
CNA,http://fm1077.serv00.net/hxds/play.php?id=cna
BBC World News,http://fm1077.serv00.net/hxds/play.php?id=bbc-world-news
BBC World News,http://fm1077.serv00.net/hxds/play.php?id=bbc-world-news
UK | GB News,http://fm1077.serv00.net/hxds/play.php?id=gb-news
UK | Sky News,http://fm1077.serv00.net/hxds/play.php?id=sky-news
UK | BBC News,http://fm1077.serv00.net/hxds/play.php?id=bbc-news
UK | BBC Parliament,http://fm1077.serv00.net/hxds/play.php?id=bbc-parliament
IE | RTE News,http://fm1077.serv00.net/hxds/play.php?id=rte-news
UK | CNN,http://fm1077.serv00.net/hxds/play.php?id=cnn
UK | Bloomberg,http://fm1077.serv00.net/hxds/play.php?id=bloomberg
UK | Fox News,http://fm1077.serv00.net/hxds/play.php?id=fox-news
UK | RT,http://fm1077.serv00.net/hxds/play.php?id=rt
UK | Euronews,http://fm1077.serv00.net/hxds/play.php?id=euronews
UK | France 24,http://fm1077.serv00.net/hxds/play.php?id=france-24
UK | Al Jazeera News,http://fm1077.serv00.net/hxds/play.php?id=al-jazeera-news
UK | CNBC Europe,http://fm1077.serv00.net/hxds/play.php?id=cnbc-europe
UK | TRT World,http://fm1077.serv00.net/hxds/play.php?id=trt-world
US | CNN,http://fm1077.serv00.net/hxds/play.php?id=cnn
US | MSNBC,http://fm1077.serv00.net/hxds/play.php?id=msnbc
US | Fox News,http://fm1077.serv00.net/hxds/play.php?id=fox-news
UK | TalkTV,http://fm1077.serv00.net/hxds/play.php?id=talktv
IL | i24News English,http://fm1077.serv00.net/hxds/play.php?id=i24news-english
FR | France 24,http://fm1077.serv00.net/hxds/play.php?id=france-24
US | ABC News,http://fm1077.serv00.net/hxds/play.php?id=abc-news
US | Bloomberg HD,http://fm1077.serv00.net/hxds/play.php?id=bloomberg
US | CBSN HD,http://fm1077.serv00.net/hxds/play.php?id=cbsn
US | CNBC,http://fm1077.serv00.net/hxds/play.php?id=cnbc
体育,#genre#
Supersports 1,http://fm1077.serv00.net/hxds/play.php?id=supersports1
Supersports 2,http://fm1077.serv00.net/hxds/play.php?id=supersports2
Supersports 3,http://fm1077.serv00.net/hxds/play.php?id=supersports3
Supersports 4,http://fm1077.serv00.net/hxds/play.php?id=supersports4
Supersports 5,http://fm1077.serv00.net/hxds/play.php?id=supersports5
WWE,http://fm1077.serv00.net/hxds/play.php?id=wwe
Fight Sports,http://fm1077.serv00.net/hxds/play.php?id=fightsports
NBA TV,http://fm1077.serv00.net/hxds/play.php?id=nba
Astro Cricket,http://fm1077.serv00.net/hxds/play.php?id=astrocricket
Astro Golf,http://fm1077.serv00.net/hxds/play.php?id=astrogolf
TNT Sports 1,http://fm1077.serv00.net/hxds/play.php?id=tnt1
TNT Sports 2,http://fm1077.serv00.net/hxds/play.php?id=tnt2
TNT Sports 3,http://fm1077.serv00.net/hxds/play.php?id=tnt3
TNT Sports 4,http://fm1077.serv00.net/hxds/play.php?id=tnt3
Sony Ten 1,http://fm1077.serv00.net/hxds/play.php?id=sonyten1
Sony Ten 2,http://fm1077.serv00.net/hxds/play.php?id=sonyten2
Sony Ten 3,http://fm1077.serv00.net/hxds/play.php?id=sonyten3
SPOTV 1,http://fm1077.serv00.net/hxds/play.php?id=spotv1
SPOTV 2,http://fm1077.serv00.net/hxds/play.php?id=spotv2
Skysports Arena,http://fm1077.serv00.net/hxds/play.php?id=ssarena
Skysports F1,http://fm1077.serv00.net/hxds/play.php?id=ssf1
Skysports Cricket,http://fm1077.serv00.net/hxds/play.php?id=sscricket
Skysports EPL,http://fm1077.serv00.net/hxds/play.php?id=ssepl
Skysports Football,http://fm1077.serv00.net/hxds/play.php?id=ssfootball
Skysports Golf,http://fm1077.serv00.net/hxds/play.php?id=ssgolf
Skysports Main Event,http://fm1077.serv00.net/hxds/play.php?id=ssmainevent
Skysports News,http://fm1077.serv00.net/hxds/play.php?id=ssnews
Skysports Mix,http://fm1077.serv00.net/hxds/play.php?id=ssmix
CCTV-5,http://fm1077.serv00.net/hxds/play.php?id=cctv5
CCTV-5+,http://fm1077.serv00.net/hxds/play.php?id=cctv5p
Elta Sports 2,http://fm1077.serv00.net/hxds/play.php?id=eltasports2
Elta Sports 3,http://fm1077.serv00.net/hxds/play.php?id=eltasports3
Bein 1 Sports,http://fm1077.serv00.net/hxds/play.php?id=bein1
Bein 2 Sports,http://fm1077.serv00.net/hxds/play.php?id=bein2
Bein 3 Sports,http://fm1077.serv00.net/hxds/play.php?id=bein3
Bein 4 Sports,http://fm1077.serv00.net/hxds/play.php?id=bein4
Bein 5 Sports,http://fm1077.serv00.net/hxds/play.php?id=bein5
Bein 6 Sports,http://fm1077.serv00.net/hxds/play.php?id=bein6
Bein 7 Sports,http://fm1077.serv00.net/hxds/play.php?id=bein7
Rugby Pass TV,http://fm1077.serv00.net/hxds/play.php?id=rugbypass
RTM Sports,http://fm1077.serv00.net/hxds/play.php?id=rtmsports
Arena,http://fm1077.serv00.net/hxds/play.php?id=arena
Arena 2,http://fm1077.serv00.net/hxds/play.php?id=arena2
BolaArena 1,http://fm1077.serv00.net/hxds/play.php?id=bolaarena1
BolaArena 2,http://fm1077.serv00.net/hxds/play.php?id=bolaarena2
Astro Beinsports 1,http://fm1077.serv00.net/hxds/play.php?id=beinsports-1
Sky Sports Tennis,http://fm1077.serv00.net/hxds/play.php?id=sky-sports-tennis
Sky Sports Main Event,http://fm1077.serv00.net/hxds/play.php?id=sky-sports-main-event
Sky Sports Premier League,http://fm1077.serv00.net/hxds/play.php?id=sky-sports-premier-league
Sky Sports Football,http://fm1077.serv00.net/hxds/play.php?id=sky-sports-football
Sky Sports Cricket,http://fm1077.serv00.net/hxds/play.php?id=sky-sports-cricket
Sky Sports Golf,http://fm1077.serv00.net/hxds/play.php?id=sky-sports-golf
Sky Sports F1,http://fm1077.serv00.net/hxds/play.php?id=sky-sports-f1
Sky Sports Action,http://fm1077.serv00.net/hxds/play.php?id=sky-sports-action
Sky Sports Arena,http://fm1077.serv00.net/hxds/play.php?id=sky-sports-arena
Sky Sports Mix,http://fm1077.serv00.net/hxds/play.php?id=sky-sports-mix
Sky Sports News,http://fm1077.serv00.net/hxds/play.php?id=sky-sports-news
Sky Sports Racing,http://fm1077.serv00.net/hxds/play.php?id=sky-sports-racing
TNT Sport 1 UK,http://fm1077.serv00.net/hxds/play.php?id=tnt-sport-1
TNT Sport 2 UK,http://fm1077.serv00.net/hxds/play.php?id=tnt-sport-2
TNT Sport 3 UK,http://fm1077.serv00.net/hxds/play.php?id=tnt-sport-3
TNT Sport 4 UK,http://fm1077.serv00.net/hxds/play.php?id=tnt-sport-4
TNT Sport 5 UK,http://fm1077.serv00.net/hxds/play.php?id=tnt-sport-5
TNT Sport 6 UK,http://fm1077.serv00.net/hxds/play.php?id=tnt-sport-6
TNT Sport 7 UK,http://fm1077.serv00.net/hxds/play.php?id=tnt-sport-7
TNT Sport 8 UK,http://fm1077.serv00.net/hxds/play.php?id=tnt-sport-8
TNT Sport 9 UK,http://fm1077.serv00.net/hxds/play.php?id=tnt-sport-9
TNT Sport 10 UK,http://fm1077.serv00.net/hxds/play.php?id=tnt-sport-10
Premier Sports 1,http://fm1077.serv00.net/hxds/play.php?id=premier-sports-1
Premier Sports 2,http://fm1077.serv00.net/hxds/play.php?id=premier-sports-2
Euro Sport1,http://fm1077.serv00.net/hxds/play.php?id=euro-sport1
Euro Sport2,http://fm1077.serv00.net/hxds/play.php?id=euro-sport2
Premier Sports 1,http://fm1077.serv00.net/hxds/play.php?id=premier-sports-1
Premier Sports 2,http://fm1077.serv00.net/hxds/play.php?id=premier-sports-2
ViaPlay Xtra,http://fm1077.serv00.net/hxds/play.php?id=viaplay-xtra
