js=https://files.catbox.moe/4dqdzg.js
臺灣 Taiwan,#genre#
東方衛視, http://?id=dongfangweishi_twn
CGTN, http://?id=CGTN
鳳凰資訊, http://?id=phoenixinfo_hd
體育 Sports,#genre#
Supersports 1, http://?id=Assp1
Supersports 1(備用), http://?id=go_assp1
Supersportq 1(備用2), http://?id=Assp1_mega
Supersports 2, http://?id=Assp2
Supersports 2(備用), http://?id=go_assp2
Supersports 3, http://?id=Assp3
Supersports 3(備用), http://?id=go_assp3
Supersports 3(備用2), http://?id=Assp3_mega
Supersports 4, http://?id=Assp4_mega
Supersports 4(備用), http://?id=go_assp4
Supersports 5, http://?id=go_assp5
Bein 2HD, http://?id=Beinhd
Beinsports HD, http://?id=Besports
Champion 5 EPL, http://?id=Champion5epl
WWE, http://?id=Wwe
Champion 6 EPL, http://?id=Champion6epl
Fight Sports, http://?id=Fs
UFC Network, http://?id=ufc_mega
NBA TV, http://?id=nbatv_twn
Astro Cricket, http://?id=Acricket_mega
Astro Golf, http://?id=Agolf
TNT Sports 1, http://?id=beeone
TNT Sports 2, http://?id=beetwo
TNT Sports 3, http://?id=beethree
TNT Sports 4, http://?id=beefour
Sony Ten 1, http://?id=ten1_raj
Sony Ten 2, http://?id=ten2_raj
Sony Ten 3, http://?id=ten3_raj
SPOTV 1 HD, http://?id=go_spotv
SPO TV 2, http://?id=go_spotv2
Beinsports 2 HD, http://?id=Bein2hd
Skysports Arena, http://?id=tiankongarena
Skysports F1, http://?id=tiankongf1
Skysports Cricket, http://?id=tiankongcricket
Skysports EPL, http://?id=tiankongepl
Skysports Football, http://?id=tiankongfootball
Skysports Golf, http://?id=tiankonggolf
Skysports Main Event, http://?id=tiankongmain
Skysports News, http://?id=tiankongnews
Skysports NFL, http://?id=tiankongnfl
Skysports Racing, http://?id=tiankongracing
Skysports Mix, http://?id=tiankongmix
CCTV-5, http://?id=cctv5
CCTV-5+, http://?id=cctv5plus
愛爾達體育2台, http://?id=eltasport2_twn
愛爾達體育3台, http://?id=eltasport3_twn
RTM Sports HD, http://?id=Rtmsport
Arena, http://?id=Arena
Arena 2, http://?id=Arena2
BolaArena 1, http://?id=Bolaarena1
Bein 1 Sports, http://?id=bein1_mega
Bein 2 Sports, http://?id=bein2_mega
Bein 3 Sports, http://?id=bein3_mega
Bein 4 Sports, http://?id=bein4_mega
Bein 5 Sports, http://?id=bein5_mega
Bein 6 Sports, http://?id=bein6_mega
Bein 7 Sports, http://?id=bein7_mega
Rugby Pass TV, http://?id=Rugbypasstv
BolaArena 2, http://?id=Bolaarena2
印度 Indian,#genre#
Sun TV HD, http://?id=Suntv
Star Vijay, http://?id=Starvijay
Colors Tamil, http://?id=Colorstam_mega
Sun Music, http://?id=Sunmusic
